Detector Type,Descriptor Type,Matcher Type,Descriptor Content Type,Selector Type,Total N keypoints,Only on vehicle Keypoints,N of Matched keypoints,Detector performance,Descriptor performance,Matcher+Selector performance,Detector+Descriptor performance,Total time
SHITOMASI,BRISK,MAT_BF,DES_BINARY,SEL_NN,13423,1179,593,111.637,338.599,0.870654,450.236,451.107
SHITOMASI,BRISK,MAT_BF,DES_BINARY,SEL_KNN,13423,1179,424,107.403,330.936,0.786885,438.339,439.126
SHITOMASI,BRISK,MAT_FLANN,DES_BINARY,SEL_NN,13423,1179,593,105.535,325.765,22.18,431.3,453.48
SHITOMASI,BRISK,MAT_FLANN,DES_BINARY,SEL_KNN,13423,1179,385,103.547,323.863,6.33803,427.41,433.748
SHITOMASI,BRIEF,MAT_BF,DES_BINARY,SEL_NN,13423,1179,593,102.575,9.8511,0.704146,112.426,113.13
SHITOMASI,BRIEF,MAT_BF,DES_BINARY,SEL_KNN,13423,1179,521,102.185,9.75351,0.679187,111.939,112.618
SHITOMASI,BRIEF,MAT_FLANN,DES_BINARY,SEL_NN,13423,1179,593,101.933,10.1926,5.64347,112.126,117.77
SHITOMASI,BRIEF,MAT_FLANN,DES_BINARY,SEL_KNN,13423,1179,448,103.007,9.83161,5.56958,112.839,118.409
SHITOMASI,ORB,MAT_BF,DES_BINARY,SEL_NN,13423,1179,593,109.464,67.3698,0.69858,176.833,177.532
SHITOMASI,ORB,MAT_BF,DES_BINARY,SEL_KNN,13423,1179,502,107.235,10.4337,0.654715,117.669,118.324
SHITOMASI,ORB,MAT_FLANN,DES_BINARY,SEL_NN,13423,1179,593,105.767,10.464,5.29462,116.231,121.525
SHITOMASI,ORB,MAT_FLANN,DES_BINARY,SEL_KNN,13423,1179,431,105.402,10.521,5.58429,115.923,121.507
SHITOMASI,FREAK,MAT_BF,DES_BINARY,SEL_NN,13423,1179,593,78.3913,208.885,0.733779,287.276,288.01
