Detector Type,Descriptor Type,Matcher Type,Descriptor Content Type,Selector Type,Total N keypoints,Only on vehicle Keypoints,N of Matched keypoints,Detector performance,Descriptor performance,Matcher+Selector performance,Detector+Descriptor performance,Matching BBox performance,Total time,Image pairs,TTC Camera,TTC Lidar,Lidar distance to car
SHITOMASI,BRISK,MAT_FLANN,DES_BINARY,SEL_KNN,1759,48,48,16.9678,65.5949,20.8313,82.5627,0.649137,104.043,TTC_0_1.bmp,12.9571,12.3137,8.004
SHITOMASI,BRISK,MAT_FLANN,DES_BINARY,SEL_KNN,1820,49,49,7.68466,32.9005,22.3641,40.5851,0.694083,63.6433,TTC_1_2.bmp,12.9008,11.6706,7.936
SHITOMASI,BRISK,MAT_FLANN,DES_BINARY,SEL_KNN,1850,41,41,8.10541,33.2765,20.7307,41.3819,0.74696,62.8595,TTC_2_3.bmp,14.1781,15.7721,7.886
SHITOMASI,BRISK,MAT_FLANN,DES_BINARY,SEL_KNN,1828,51,51,8.23737,32.5484,21.085,40.7858,0.763855,62.6347,TTC_3_4.bmp,12.7506,16.6787,7.839
SHITOMASI,BRISK,MAT_FLANN,DES_BINARY,SEL_KNN,1806,0,0,8.2201,31.8323,20.7492,40.0524,0.716198,61.5178,TTC_4_5.bmp,nan,15.5779,7.789
SHITOMASI,BRISK,MAT_FLANN,DES_BINARY,SEL_KNN,1877,46,46,9.42827,35.6551,23.1884,45.0833,0.739661,69.0114,TTC_5_6.bmp,14.4568,11.8831,7.724
SHITOMASI,BRISK,MAT_FLANN,DES_BINARY,SEL_KNN,1894,57,57,8.13075,36.8019,22.5966,44.9327,0.668658,68.198,TTC_6_7.bmp,12.9475,11.7831,7.659
SHITOMASI,BRISK,MAT_FLANN,DES_BINARY,SEL_KNN,1889,49,49,8.85801,35.2037,21.9707,44.0617,0.691871,66.7243,TTC_7_8.bmp,13.7596,13.5768,7.603
SHITOMASI,BRISK,MAT_FLANN,DES_BINARY,SEL_KNN,1917,50,50,8.07058,33.2082,21.76,41.2788,0.668218,63.707,TTC_8_9.bmp,12.1006,13.9795,7.549
SHITOMASI,BRISK,MAT_FLANN,DES_BINARY,SEL_KNN,1874,53,53,8.25157,33.7468,21.7302,41.9984,0.678062,64.4066,TTC_9_10.bmp,12.7,11.5139,7.484
SHITOMASI,BRISK,MAT_FLANN,DES_BINARY,SEL_KNN,1912,0,0,12.854,51.3138,28.6084,64.1677,0.753909,93.53,TTC_10_11.bmp,nan,12.5847,7.425
SHITOMASI,BRISK,MAT_FLANN,DES_BINARY,SEL_KNN,1930,60,60,8.28208,38.0765,23.7711,46.3586,0.662318,70.7921,TTC_11_12.bmp,11.9595,8.73927,7.341
SHITOMASI,BRISK,MAT_FLANN,DES_BINARY,SEL_KNN,1881,52,52,8.78704,33.1171,21.4154,41.9041,0.745507,64.0651,TTC_12_13.bmp,12.5626,9.95617,7.268
SHITOMASI,BRISK,MAT_FLANN,DES_BINARY,SEL_KNN,1886,57,57,8.51741,34.9014,23.1046,43.4188,0.808333,67.3318,TTC_13_14.bmp,12.2057,9.72157,7.194
SHITOMASI,BRISK,MAT_FLANN,DES_BINARY,SEL_KNN,1957,45,45,8.54908,34.7003,21.7359,43.2494,0.786626,65.7719,TTC_14_15.bmp,11.8987,8.16898,7.107
SHITOMASI,BRISK,MAT_FLANN,DES_BINARY,SEL_KNN,1888,42,42,8.40391,33.3992,23.0175,41.8031,0.776976,65.5975,TTC_15_16.bmp,10.552,10.3515,7.039
SHITOMASI,BRISK,MAT_FLANN,DES_BINARY,SEL_KNN,1919,47,47,9.08793,37.061,24.4325,46.149,0.903914,71.4854,TTC_16_17.bmp,10.7133,9.16182,6.963
SHITOMASI,BRISK,MAT_FLANN,DES_BINARY,SEL_KNN,2057,44,44,8.74391,34.3556,23.5189,43.0995,0.871373,67.4897,TTC_17_18.bmp,10.9023,8.82697,6.885
SHITOMASI,BRIEF,MAT_FLANN,DES_BINARY,SEL_KNN,1759,41,41,18.6457,10.3902,20.8951,29.0359,1.0391,50.9702,TTC_0_1.bmp,13.4496,12.3137,8.004
